number,draft,opened,closed,ballot_type,pool,vote_for,vote_against,vote_abstain,vote_invalid,comments,instructions_url,draft_url,redline_url,resolution_url,template_url,pool_url,project_id,project.task_group
101,1.00,2007-04-16,2007-05-16,WI,307,163,52,57,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB101T/Letter-Ballot-101-Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11T/Draft-P802.11.2_D1.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB101T/LB101_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB101T/Voters-List-LB101.xls,334,TGt
102,2.00,2007-04-07,2007-05-02,WR,427,227,29,61,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB102w/Letter%20Ballot%20102%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/Draft%20P802.11w_D2.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/index.html,http://www.ieee802.org/11/LetterBallots/LB102w/LB102_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB102w/Voters-List-LB102.xls,115,TGw
103,7.00,2007-04-18,2007-05-05,WR,514,363,29,39,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB103k/Letter%20Ballot%20103%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11k/Draft%20P802.11k_D7.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11k/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11k/index.html,http://www.ieee802.org/11/LetterBallots/LB103k/LB103_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB103k/Voters-List-LB103.xls,119,TGk
104,2.00,2007-04-19,2007-05-05,WR,347,221,41,62,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB104y/Letter%20Ballot%20104%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/Draft%20P802.11y_D2.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/index.html,http://www.ieee802.org/11/LetterBallots/LB104y/LB104_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB104y/Voters-List-LB104.xls,114,TGy
105,6.00,2007-05-28,2007-06-13,WR,518,360,11,65,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB105r/Letter%20Ballot%20105%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11r/Draft%20P802.11r_D6.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11r/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11r/index.html,http://www.ieee802.org/11/LetterBallots/LB105r/LB105_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB105r/Voters-List-LB105.xls,116,TGr
106,3.00,2007-06-05,2007-06-20,WR,347,242,24,60,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB106y/Letter%20Ballot%20106%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/Draft%20P802.11y_D3.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/index.html,http://www.ieee802.org/11/LetterBallots/LB106y/LB106_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB106y/Voters-List-LB106.xls,114,TGy
107,1.00,2007-06-08,2007-07-08,WI,299,111,62,48,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB107u/Letter%20Ballot%20107%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/Draft%20P802.11u_D1.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/index.html,http://www.ieee802.org/11/LetterBallots/LB107u/LB107_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB107u/Voters-List-LB107.xls,64,TGu
108,1.00,2007-07-31,2007-08-30,WI,278,132,77,38,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB108v/Letter%20Ballot%20108%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11v/Draft%20P802.11v_D1.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB108v/LB108_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB108v/Voters-List-LB108.xls,71,TGv
109,4.00,2007-08-06,2007-08-21,WR,347,250,17,60,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB109y/Letter%20Ballot%20109%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/Draft%20P802.11y_D4.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11y/11-07-2268-00-000y-tgy-redline-between%20Draft%204.0%20and%203.0.pdf,http://www.ieee802.org/11/LetterBallots/LB109y/11-07-2019-06-000y-d3-comments.xls,http://www.ieee802.org/11/LetterBallots/LB109y/LB109_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB109y/Voters-List-LB109.xls,114,TGy
110,3.00,2007-08-13,2007-09-12,WI,278,143,50,58,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB110p/Letter%20Ballot%20110%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11p/Draft%20P802.11p_D3.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB110p/LB110_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB110p/Voters-List-LB110.xls,117,TGp
