pk,name,description,doc_type,par,task_group,task_group_url,doc_format,doc_version,baseline,order,par_date,par_expiry,initial_wg_ballot,recirc_wg_ballot,sb_form_date,sb_formed,initial_sb_ballot,recirc_sb_ballot,mec_date,mec_completed,wg_approval_date,ec_approval_date,revcom_approval_date,ansi_approval_date,withdrawn_date,withdrawn,history,wg_approved,ec_approved,published,slug
111,802.11,IEEE Standard for Wireless LAN Medium Access Control MAC and Physical Layer PHY Specifications,STD,,MAC/PHY,,N/A,,,1,1991-03-21,,,,,False,,,,True,,,1997-06-26,,1999-07-15,True,,True,True,True,macp-111
128,802.11a,Higher Speed PHY Extension in the 5GHz Band,A,,TGa,,N/A,,130,1,1997-09-16,,1998-11-27,1999-02-02,,True,1999-04-01,1999-06-01,,True,,,1999-09-16,2000-02-04,2007-03-08,True,,True,True,True,tga-128
126,802.11c,Media Access Control MAC Bridges - Supplement for Support by IEEE 802.11,A,,TGc,,N/A,,130,1,1997-12-09,,,,,True,,,,True,,,1998-09-16,,2000-02-04,True,,True,True,False,tgc
127,802.11b,Higher Speed PHY Extension in the 2.4 GHz Band,A,,TGb,,N/A,,130,2,1997-12-09,,1998-09-30,1998-11-27,,False,1999-04-01,1999-06-01,,True,,,1999-09-16,,2007-03-08,True,,True,True,True,tgb-127
130,802.11,Part II Wireless LAN Medium Access Control MAC and Physical Layer PHY Specifications,STD,,MAC/PHY,,N/A,,,0,1997-12-09,,,,,True,,,,True,,,1999-03-18,1999-07-15,2005-09-30,True,,True,True,True,macphy
125,802.11d,Operation in Additional Regulatory Domains,A,,TGd,,N/A,,130,3,1999-06-26,,1999-11-27,2000-03-27,2001-11-29,True,2001-01-31,2001-04-03,,True,,,2001-06-14,2001-10-25,2007-03-08,True,,True,True,True,tgd-125
343,802.11b Cor1,Corrigenda to IEEE 802.11b-1999,COR,,TGb-Cor1,,,,130,2,1999-11-27,,2000-01-01,2000-10-18,,True,,,,True,,,2001-10-10,2002-01-30,2007-03-08,True,,True,True,True,tgb-c-343
124,802.11e,MAC Enhancements QoS,A,,TGe,,N/A,,130,8,2000-03-30,,2001-04-05,2003-08-01,2003-08-15,False,2004-04-07,2004-08-06,,True,2005-07-22,2005-07-22,2005-09-22,,2007-03-08,True,,True,True,True,tge-124
129,802.11f,Inter-Access Point Protocol Across Distribution Systems Supporting IEEE 802.11 Operation,RP,,TGf,,N/A,,,1,2000-03-30,,2001-04-05,2002-05-08,2002-07-27,True,2002-09-18,2002-12-04,,True,,,2003-06-12,,2006-02-03,True,,True,True,True,tgf
123,802.11g,Further Higher Data Rate Extension in the 2.4 GHz Band,A,,TGg,,N/A,,130,4,2000-09-21,,2002-01-31,2002-10-17,2002-07-25,True,2003-02-06,2003-03-25,,True,,,2003-06-12,2003-10-20,2007-03-08,True,,True,True,True,tgg-123
122,802.11h,Spectrum and Transmit Power Management Extensions in the 5 GHz Band in Europe,A,,TGh,,N/A,,130,5,2000-12-07,,2001-07-25,2002-07-23,2002-07-25,True,2002-12-12,2003-04-15,,True,,,2003-09-11,2003-12-29,2007-03-08,True,,True,True,True,tgh-122
121,802.11i,MAC Security Enhancements,A,,TGi,,N/A,,130,6,2001-05-30,,2001-04-05,2003-05-22,2003-08-10,True,2003-11-20,2004-02-26,,True,,,2004-06-24,2005-02-14,2007-03-08,True,,True,True,True,tgi-121
119,802.11k,Radio Resource Measurement,A,,TGk,,N/A,,59,1,2002-12-11,,2004-08-02,2006-03-16,2005-11-14,False,2007-07-11,2007-09-24,2007-04-10,True,,,2008-05-09,,2012-03-01,True,,True,True,True,tgk-119
120,802.11j,4.9 GHz-5 GHz Operation in Japan,A,,TGj,,N/A,,130,7,2002-12-11,,2003-04-01,2004-02-04,2004-05-13,True,2004-06-02,2004-07-30,,True,,,2004-09-23,2005-02-02,2007-03-08,True,,True,True,True,tgj-120
59,802.11,802.11 Standard Maintenance  Revision,STD,,TGma,,N/A,,130,10,2003-03-20,2003-03-20,2005-03-29,2005-07-07,2005-08-21,True,2005-10-21,2006-04-10,2005-08-21,True,2006-11-08,2006-11-08,2007-03-08,,2012-03-01,True,,True,True,True,tgma
74,802.11n,High Throughput,A,http://standards.ieee.org/board/nes/projects/802-11n.pdf,TGn,http://grouper.ieee.org/groups/802/11/Reports/tgn_update.htm,,,59,5,2003-09-11,2007-09-27,2006-03-19,2007-10-07,2008-12-11,True,2008-12-11,2009-03-06,2008-12-11,True,,,2009-09-11,,2012-03-01,True,,True,True,True,tgn-74
40,802.11s,Mesh Networking,A,http://standards.ieee.org/board/nes/projects/802-11s.pdf,TGs,http://grouper.ieee.org/groups/802/11/Reports/tgs_update.htm,PDF,,59,10,2004-05-13,2010-12-31,2006-12-07,2009-12-09,2010-09-12,True,2010-10-02,2011-04-01,2010-09-29,True,2011-07-01,2011-07-01,2011-08-01,,2012-03-01,True,,True,True,True,tgs
117,802.11p,Wireless Access for the Vehicular Environment,A,http://standards.ieee.org/board/nes/projects/802-11p.pdf,TGp,http://grouper.ieee.org/groups/802/11/Reports/tgp_update.htm,N/A,,59,6,2004-09-23,,2006-03-02,2008-05-12,2009-06-01,True,2009-10-23,2010-02-01,2008-06-19,True,,,2010-07-15,,2012-03-01,True,,True,True,True,tgp-117
64,802.11u,InterWorking with External Networks,A,http://standards.ieee.org/board/nes/projects/802-11u.pdf,TGu,http://grouper.ieee.org/groups/802/11/Reports/tgu_update.htm,Frame/PDF,13.00,59,9,2004-12-08,2010-12-31,2007-06-08,2008-09-23,2009-06-01,True,2009-11-07,2010-04-08,2009-07-12,True,2010-11-01,2010-11-01,2011-02-25,,2012-03-01,True,02/05/2008,True,True,True,tgu-64
71,802.11v,Wireless Network Management,A,http://standards.ieee.org/board/nes/projects/802-11v.pdf,TGv,http://grouper.ieee.org/groups/802/11/Reports/tgv_update.htm,Frame/PDF,16.00,59,8,2004-12-08,2010-12-31,2007-07-31,2009-04-04,2009-06-01,True,2009-11-07,2010-01-29,2009-07-12,True,2010-11-01,2010-11-01,2011-02-09,,2012-03-01,True,,True,True,True,tgv-71
115,802.11w,Protected Management Frames,A,http://standards.ieee.org/board/nes/projects/802-11w.pdf,TGw,http://grouper.ieee.org/groups/802/11/Reports/tgw_update.htm,N/A,,59,4,2005-03-20,,2006-10-10,2007-04-18,2007-11-13,True,2008-08-22,2009-01-18,,True,,,2009-09-11,,2012-03-01,True,,True,True,True,tgw-115
38,802.11,802.11 Accumulated Maintenance Changes,STD,https://development.standards.ieee.org/P652100033/par,TGmb,http://grouper.ieee.org/groups/802/11/Reports/tgm_update.htm,Frame/PDF,9.01,59,11,2007-03-22,2011-12-31,2009-05-18,2009-12-10,2010-09-14,True,2010-09-21,2010-12-01,2010-09-01,True,2011-11-11,2011-11-11,2012-03-01,2012-05-13,,False,,True,True,True,tgmb
113,802.11z,Extensions to Direct Link Setup,A,http://standards.ieee.org/board/nes/projects/802-11z.pdf,TGz,http://grouper.ieee.org/groups/802/11/Reports/tgz_update.htm,Word/PDF,13.00,59,7,2007-08-22,,2008-04-03,2009-03-05,2009-06-01,True,2009-11-06,2010-02-12,2009-06-18,True,,,2010-10-01,,2012-03-01,True,,True,True,True,tgz-113
80,802.11aa,Video Transport Streams,A,https://development.standards.ieee.org/P635900033/par,TGaa,http://grouper.ieee.org/groups/802/11/Reports/tgaa_update.htm,Word/PDF,9.00,,2,2008-03-27,2012-12-31,2010-06-10,2010-09-01,2011-06-30,True,2011-09-12,2011-11-01,2011-06-16,True,2012-01-28,2012-02-17,2012-06-01,2012-05-29,,False,,True,True,True,tgaa
79,802.11ac,Very High Throughput 6GHz,A,https://development.standards.ieee.org/P646700033/par,TGac,http://grouper.ieee.org/groups/802/11/Reports/tgac_update.htm,PDF,5.00,,4,2008-09-26,2012-12-31,2011-05-01,2011-11-01,2013-01-01,False,2013-03-01,2013-05-01,2013-01-01,False,2013-11-01,2013-11-01,2014-02-01,,,False,,False,False,False,tgac
78,802.11ad,Very High Throughput 60GHz,A,https://development.standards.ieee.org/P653500033/par,TGad,http://grouper.ieee.org/groups/802/11/Reports/tgad_update.htm,PDF,9.00,,3,2008-12-10,2012-12-31,2010-09-24,2011-05-01,2011-09-01,True,2011-12-01,2012-03-01,2011-07-01,True,2012-07-01,2012-07-01,2012-10-23,2012-12-28,,False,,True,True,True,tgad-78
114,802.11y,3650-3700 MHz Operation in USA,A,,TGy,,N/A,,59,3,2008-12-31,,2006-12-08,2007-04-19,2007-06-20,True,2007-12-21,2008-02-27,2007-07-28,True,,,2008-11-06,,2012-03-01,True,,True,True,True,tgy-114
116,802.11r,Fast Roaming,A,,TGr,,N/A,,59,2,2008-12-31,,2005-11-25,2006-03-15,2007-06-16,False,2007-07-31,2007-09-27,2007-04-11,True,,,2008-05-09,,2012-03-01,True,,True,True,True,tgr-116
334,802.11.2,Wireless Performance,RP,,TGt,,,,,0,2008-12-31,,2007-04-16,,,False,,,,False,,,,,2008-05-14,True,,False,False,False,tgt
55,802.11ae,Prioritization of Management Frames,A,https://development.standards.ieee.org/P684600033/par,TGae,http://grouper.ieee.org/groups/802/11/Reports/tgae_update.htm,PDF,8.00,,1,2009-12-09,2010-10-15,2010-09-27,2011-01-01,2011-07-01,True,2011-08-10,2011-11-01,2011-05-01,True,2012-01-20,2012-02-17,2012-03-01,2012-03-31,,False,,True,True,True,tgae
77,802.11af,TV White Spaces,A,https://development.standards.ieee.org/P684500033/par,TGaf,http://grouper.ieee.org/groups/802/11/Reports/tgaf_update.htm,PDF,2.20,,5,2009-12-09,2013-12-31,2011-01-01,2013-01-01,2013-06-01,False,2013-09-01,2013-11-01,2013-11-01,False,2014-03-01,2014-03-01,2014-06-01,,,False,,False,False,False,tgaf
76,802.11ah,Sub 1 GHz,A,https://development.standards.ieee.org/P717700033/par,TGah,http://grouper.ieee.org/groups/802/11/Reports/tgah_update.htm,None,,,6,2010-10-04,2013-12-31,2013-09-01,2013-11-01,2014-11-01,False,2015-02-01,2015-11-01,2014-11-01,False,2016-01-01,2016-01-01,2016-03-01,,,False,,False,False,False,tgah
198001,802.11ai,Fast Initial Link Setup,A,https://development.standards.ieee.org/P722100033/par,TGai,http://grouper.ieee.org/groups/802/11/Reports/tgai_update.htm,PDF,0.30,,7,2010-12-08,2014-12-31,2013-03-01,2013-11-01,2014-03-01,False,2014-07-01,2014-09-01,2014-03-01,False,2014-11-01,2014-11-01,2015-02-01,,,False,,False,False,False,tgai
244001,802.11,Maintenance,A,,TGmc,http://grouper.ieee.org/groups/802/11/Reports/tgm_update.htm,PDF,0.70,,0,2012-07-20,,2013-01-01,2013-07-01,2014-03-01,False,2014-04-01,2014-07-01,2014-02-01,False,2014-11-01,2014-11-01,2015-03-01,2015-03-01,,False,,False,False,False,tgmc
247001,802.11aj,China Millimeter Wave,A,https://development.standards.ieee.org/get-file/P802.11aj.pdf?t=76671200003,TGaj,http://grouper.ieee.org/groups/802/11/Reports/tgaj_update.htm,None,,,8,2012-08-01,,2014-03-01,2014-09-01,2015-03-01,False,2015-07-01,2016-03-01,2016-03-01,False,2016-06-01,2016-09-01,2016-10-01,,,False,,False,False,False,tgaj
251001,802.11ak,General Link,A,https://development.standards.ieee.org/get-file/P802.11ak.pdf?t=77398400003,TGak,http://grouper.ieee.org/groups/802/11/Reports/tgak_update.htm,None,0.00,,9,2012-12-05,2016-12-31,,,,False,,,,False,,,,,,False,,False,False,False,tgak-97
253001,802.11aq,Pre-association Discovery,A,https://development.standards.ieee.org/get-file/P802.11aq.pdf?t=77398700003,TGaq,http://grouper.ieee.org/groups/802/11/Reports/tgaq_update.htm,None,,,10,2012-12-05,2016-12-31,2014-03-01,2014-05-01,2014-09-01,False,2014-11-01,2015-01-01,2014-09-01,False,2015-03-01,2015-03-01,2015-05-01,,,False,,False,False,False,tgaq-82

number,draft,opened,closed,ballot_type,pool,vote_for,vote_against,vote_abstain,vote_invalid,comments,instructions_url,draft_url,redline_url,resolution_url,template_url,pool_url,project_id,project.task_group
15,0.00,1998-09-30,1998-11-09,WI,,,,,,,,,,,,,127,TGb
21,0.00,2000-03-27,2000-04-04,WR,,,,,,,,,,,,,125,TGd
22,0.00,2000-06-12,2000-06-26,WR,,,,,,,,,,,,,125,TGd
26,0.00,2001-04-05,2001-05-15,WI,,,,,,,,,,,,,129,TGf
27,0.00,2001-04-05,2001-05-15,WI,,,,,,,,,,,,,124,TGe
28,0.00,2001-07-25,2001-09-03,WI,,,,,,,,,,,,,129,TGf
29,0.00,2001-07-25,2001-09-03,WI,,,,,,,,,,,,,122,TGh
30,0.00,2001-12-05,2002-01-16,WI,266,101,84,33,,,,,,,,,124,TGe
32,0.00,2002-01-29,2002-03-10,WI,290,145,31,19,,,,,,,,,129,TGf
33,0.00,2002-01-31,2002-03-11,WI,286,86,104,41,,,,,,,,,123,TGg
35,0.00,2002-03-25,2002-05-04,WI,338,143,43,78,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11i/LetterBallot35.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11i/P802_11i-D2_0.pdf,,,,,121,TGi
36,0.00,2002-03-26,2002-05-05,WI,330,165,52,53,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11h/LetterBallot36.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11h/P802_11H-D2_0.pdf,,,,,122,TGh
38,0.00,2002-05-08,2002-06-16,WR,291,221,9,25,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11f/LB38-Instructions-r1.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11f/802.11f-D3.1.pdf,,,http://www.ieee802.org/11/Documents/DocumentHolder/2-391.zip,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11f/LB32-Voters.xls,129,TGf
39,0.00,2002-05-23,2002-07-02,WI,365,106,110,44,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11e/LetterBallot39.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11e/P802_11E-D3_0.pdf,,,,,124,TGe
41,0.00,2002-07-23,2002-09-01,WI,382,194,40,15,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11g/LB_41_Instructions.doc,http://www.ieee802.org/11/private/Draft_Standards/11g/index.html,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB40CommentForm.xls,,123,TGg
42,0.00,2002-07-23,2002-09-01,WR,360,208,24,39,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11h/LB_42_Instructions.doc,http://www.ieee802.org/11/private/Draft_Standards/11h/index.html,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11h/LB_42_CommentForm.xls,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11h/LB42Voters.xls,122,TGh
48,2.20,2002-10-17,2002-11-01,WR,356,241,7,17,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_48_Instructions.doc,http://www.ieee802.org/11/private/Draft_Standards/11h/802-11-h-D2.2.pdf,,http://www.ieee802.org/11/private/Draft_Standards/11h/11-02-515r7-H-Comments_form_LB42.xls,http://www.ieee802.org/11/LetterBallots/preLB86/LB_43_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/LB46Voters-r1.xls,122,TGh
49,4.00,2002-10-17,2002-11-01,WR,382,217,33,25,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_49_Instructions.doc,http://www.ieee802.org/11/private/Draft_Standards/11g/802.11g-D4.0.pdf,,http://www.ieee802.org/11/Documents/DocumentHolder/2-535.zip,http://www.ieee802.org/11/LetterBallots/preLB86/LB_49_CommentForm.xls,http://www.ieee802.org/11/Voters-list-LB49.xls,123,TGg
50,5.00,2002-11-27,2003-01-08,WI,321,256,34,18,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11g/LB_50_Instructions.doc,http://www.ieee802.org/11/private/Draft_Standards/11g/802.11g-D5.0.doc,,,http://www.ieee802.org/11/private/Draft_Standards/11g/LB_50_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB50-51-52.xls,123,TGg
51,4.00,2002-11-28,2003-01-08,WI,321,228,47,21,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11e/LB_51_Instructions.doc,http://www.ieee802.org/11/private/Draft_Standards/11e/P802_11E-D4_0.pdf,,,http://www.ieee802.org/11/private/Draft_Standards/11e/LB_51_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB50-51-52.xls,124,TGe
52,3.00,2002-12-02,2003-01-12,WI,321,209,65,21,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11i/LB_52_Instructions.doc,http://www.ieee802.org/11/private/Draft_Standards/11i/802.11i-D3.0.pdf,,,http://www.ieee802.org/11/private/Draft_Standards/11i/LB_52_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB50-51-52.xls,121,TGi
54,6.10,2003-01-20,2003-02-04,WR,321,184,22,58,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11g/LB_54_Instructions.doc,http://www.ieee802.org/11/private/Draft_Standards/11g/802.11g-D6.1-tracking.doc,,http://grouper.ieee.org/groups/802/11/LetterBallots/preLB86/11-03-068r12-G-LB50_Comment_Resolution.xls,http://www.ieee802.org/11/private/Draft_Standards/15-2/CoexistenceLB53.doc,http://ieee802.org/15/pub/LB23/LB53/LB53Voters.xls,123,TGg
56,1.00,2003-04-01,2003-05-12,WI,394,196,93,5,,,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11J/LB_56_Instructions.doc,http://www.ieee802.org/11/private/Draft_Standards/11J/P802_11j-D1_0.doc,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_55_CommentForm.xls,http://grouper.ieee.org/groups/802/11/Voter-list-LB55.xls,120,TGj
57,4.00,2003-05-22,2003-06-06,WR,321,218,61,19,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_57_Instructions.doc,http://www.ieee802.org/11/private/Draft_Standards/11i/802_11i-D4_0-redlined.doc,,http://www.ieee802.org/11/LetterBallots/preLB86/11-03-033r10-I-LB52-Comments.xls,http://www.ieee802.org/11/private/Draft_Standards/11i/LB_57_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB50-51-52.xls,121,TGi
59,5.00,2003-08-01,2003-08-22,WR,321,248,7,8,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_59_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11e/P802_11E-D5.0-changes-with-4.0-marked.pdf,,http://www.ieee802.org/11/LetterBallots/preLB86/11-03-020r13-E-Merged_Letter_Ballot_51_Comments.xls,http://www.ieee802.org/11/private/Draft_Standards/11e/LB_59_CommentForm.xls,http://grouper.ieee.org/groups/802/11/Voters-list-LB58.xls,124,TGe
60,5.00,2003-08-04,2003-08-19,WR,321,243,36,20,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_60_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11i/802.11i-D5.0-redlined.doc,,http://www.ieee802.org/11/LetterBallots/preLB86/11-03-452r6-I-LB57-Comments.xls,http://www.ieee802.org/11/private/Draft_Standards/11i/LB_60_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB50-51-52.xls,121,TGi
61,6.00,2003-09-24,2003-10-09,WR,321,257,21,21,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_61_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11i/802.11i-D6.0-redlined.doc,,http://grouper.ieee.org/groups/802/11/LetterBallots/preLB86/11-03-0659-04-000i-LB60-Comments.xls,http://www.ieee802.org/11/LetterBallots/preLB86/LB_61_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB50-51-52-57-60-61.xls,121,TGi
62,7.00,2003-10-20,2003-11-04,WR,321,264,14,21,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_62_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11i/802_11i-D7.0-redlined.doc,,http://grouper.ieee.org/groups/802/11/LetterBallots/preLB86/11-03-0808-00-000i-LB61Comments.xls,http://www.ieee802.org/11/LetterBallots/preLB86/LB_62_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB57-60-61-62.xls,121,TGi
63,6.00,2003-12-04,2003-12-20,WR,321,248,30,23,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_63_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11e/P802_11E-D6.0-redlined.pdf,,http://www.ieee802.org/11/LetterBallots/preLB86/11-03-0658-17-000e-letter-ballot-59-comments.xls,http://www.ieee802.org/11/private/Draft_Standards/11e/LB_63_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB-51-59-63.xls,124,TGe
64,1.20,2003-12-05,2004-01-14,WI,463,212,27,24,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_64_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11J/P802_11j-D1.2.doc,,http://www.ieee802.org/11/LetterBallots/preLB86/11-03-337r6-W-TGj_Letter_Ballot_Comment_Resolution_May_2003.xls,http://www.ieee802.org/11/private/Draft_Standards/11J/LB_64_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB64.xls,120,TGj
65,7.00,2004-01-31,2004-02-15,WR,321,258,19,24,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_65_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11e/P802_11E-D7.0-redlined.pdf,,http://www.ieee802.org/11/LetterBallots/preLB86/11-04-1001-06-000e-letter-ballot-63-comments.xls,http://www.ieee802.org/11/LetterBallots/preLB86/LB_65_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB-51-59-63.xls,124,TGe
66,1.30,2004-02-04,2004-03-11,WR,464,258,17,27,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_66_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11J/P802_11j-D1.3redlined.pdf,,http://www.ieee802.org/11/LetterBallots/preLB86/11-04-0042-05-000j-tgj-comment-resolution-lb64.xls,http://www.ieee802.org/11/LetterBallots/preLB86/LB_66_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB64-66.xls,120,TGj
67,8.00,2004-02-24,2004-03-10,WR,321,262,16,23,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_67_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11e/P802_11E-D8.0-redlined.pdf,,http://www.ieee802.org/11/LetterBallots/preLB86/11-04-0181-05-000e-letter-ballot-65-comments.xls,http://www.ieee802.org/11/LetterBallots/preLB86/LB_67_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voter-list-LB-51-59-63-65-67.xls,124,TGe
68,1.40,2004-04-05,2004-04-20,WR,464,273,13,24,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_68_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11J/P802_11j-D1.4-redlined.pdf,,http://www.ieee802.org/11/LetterBallots/preLB86/11-04-0411-02-000j-tgj-comment-resolution-lb66.xls,http://www.ieee802.org/11/LetterBallots/preLB86/LB_68_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voters-list-LB68.xls,120,TGj
71,1.00,2004-08-02,2004-09-11,WI,412,329,18,27,,,http://www.ieee802.org/11/LetterBallots/preLB86/LB_71_Instructions.doc,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11k/P802.11k-D1.0.pdf,,,http://www.ieee802.org/11/private/Draft_Standards/11k/LB_71_CommentForm.xls,http://www.ieee802.org/11/LetterBallots/preLB86/Voters-list-LB69.xls,119,TGk
